"running_HR_25p","running_HR_max","running_HR_75p","running_HR_mean","training_RPE","daily_wellness_sleep","daily_wellness_fatigue","daily_wellness_stress","daily_wellness_soreness","daily_wellness_mood","daily_HRrest","training_daypart_evening","training_daypart_morning","training_session_Ext interval","training_session_Ext tempo","training_session_Fartlek","training_session_Int endurance","training_session_Int interval","training_session_Int tempo","readiness_notready","duration","TRIMP","SHRZ","wellness","HRR"
177,181.5726,179,168.350877192982,"9",4,3,2,2,2.5,53,0,0,0,0,0,0,0,1,0,4214,225.783866415428,148.738845658099,129.6,128.5726
151,156,153,144.58448130447,"3",3.5,2,3,3,3,55,1,0,0,0,0,0,0,0,0,3557,148.020540271435,126.99154475206,38.3,101
137,148,142,132.056120659418,"2",4,3.5,3,3,3.5,53,0,1,0,0,0,0,0,0,0,2796,99.6155143952615,106.396569042854,20.9,95
153,159,154,147.088590604027,"4",4,3,3,2.5,3.5,52,0,1,0,0,0,1,0,0,0,2206,92.238502996848,78.6073627325041,31.6,107
140,146,141,137.136696501221,"2",4,3.5,3,2.5,3,52,0,1,0,0,0,0,0,0,0,6088,266.918011573795,212.857057078868,43.3,94
144,153,147,138.914834205934,"2",3.5,2,3,2.5,3.5,54,1,0,0,0,0,0,0,0,0,2808,107.611422867414,103.669518786917,20.5,99
144,149,146,139.46925566343,"2",3.5,3,3,3.5,3,56,0,1,0,0,0,0,0,0,0,4234,181.454727717732,149.385901442308,30.3,93
144,168,146,139.180074257426,"3",3,2.5,3,2.5,3,54,1,0,0,0,0,0,0,0,0,3232,108.137722127847,136.974757321051,34.1,114
138,151,141,134.346534653465,"3",3,2,3,2,3,53,1,0,0,0,0,0,0,0,1,4093,144.946386180673,156.146090149303,44.2,98
148,154.727,152,142.36799707067,"3",3,2,2.5,2.5,3,51,1,0,0,0,0,0,0,0,0,2684,109.791737301491,96.4900596414269,28.5,103.727
145,155,149,139.607876298623,"2",3,2.5,3,2.5,3.5,51,1,0,0,0,0,0,0,0,0,8126,306.390452499935,302.023113345766,56.1,104
148,156,151,143.246005809731,"2",4,2.5,3,2.5,3,51,0,0,0,0,0,0,0,0,0,5474,222.467854762028,197.309898030078,38.3,105
159,164.7612,161,154.211385516953,"4",2.5,2,2.5,2,2,54,0,0,0,0,0,0,0,0,1,2331,127.797827452962,81.5859189634383,33.4,110.7612
166,171,168,159.720649061406,"6",2,2,3,2.5,2.5,49,1,0,1,0,0,0,0,0,0,3088,170.737187470941,107.748404967505,63.8,122
155,161,159,146.415172413793,"5",3.5,3.5,3.5,4,3.5,50,0,0,0,0,0,1,0,0,0,2436,112.354265823261,83.4134275618376,41.1,111
134,139,135,129.914595028067,"2",2,2.5,3,2,3.5,53,1,0,0,0,0,0,0,0,1,2428,103.142750369226,85.9687726486819,18.3,86
137,144.6903,138,132.441897998709,"3",3.5,2.5,3,3.5,3.5,52,1,0,0,0,0,0,0,0,0,3049,120.244756691127,111.25300585246,33,92.6903
165,179,169,156.677733780079,"6",2,2,3,3,3.5,51,0,1,0,0,1,0,0,0,0,3190,137.095051184515,122.35437751004,66.2,128
154,167,156,145.912927112142,"4",3.5,2.5,3.5,2.5,3.5,51,0,0,0,0,0,0,0,0,0,11209,470.682115119951,433.81228022485,141.1,116
157,162,159,152.486642221058,"5",2.5,2,2,2.5,3,51,1,0,1,0,0,0,0,0,0,3778,213.184926844475,130.851407725898,64.3,111
153,159,155,143.673772791024,"4",2,2,2.5,3,3.5,55,0,1,0,0,0,0,0,0,0,3391,128.088047499696,125.941335096366,47.7,104
142,148.4021,143,139.479598662207,"3",4.5,4,4,4,4.5,53,0,0,0,0,0,0,0,0,0,5863,257.599454051478,204.817242025901,61.3,95.4021
168,193.3592,187,162.98127925117,"6",3.5,2,3.5,3,4,51,0,0,1,0,0,0,0,0,0,3144,119.449110208468,126.568316121928,65.4,142.3592
147,154,149,139.825706940874,"3",2,2,2,3,3,55,0,1,0,0,0,0,0,0,0,1839,70.296544442643,67.9660118131236,19.8,99
156,161,158,152.354228855721,"3",3,2.5,2.5,2.5,2.5,56,0,0,0,0,0,0,0,0,1,4981,283.930963289295,171.88477554835,52,105
161,179,163,157.623682076237,"5",4,3,3,2.5,3,56,0,0,0,0,0,1,0,0,0,3602,155.093164205151,138.056304528259,65,123
155,160,157,150.798284862043,"4",4,3,3,3,2.5,58,1,0,0,0,0,0,0,0,0,2639,146.902670252303,91.8548226691045,38,102
161,184,163,158.013287612516,"5",3,2.5,2.5,3,2.5,56,1,0,0,0,0,1,0,0,0,2312,90.7863270138583,91.8635884205824,40.6,128
149,154,151,144.658491439149,"5",2,2,2.5,2,3.5,60,0,0,0,0,0,0,0,0,0,2122,91.7302719646131,74.611377539214,38.3,94
157,163,159,152.617480136209,"5",4,3,2,3,3,57,0,0,0,0,0,1,0,0,0,4408,239.702963484641,154.74353272633,77.8,106
161,175,166,157.226368159204,"4",3.5,3.5,3.5,3.5,3.5,59,0,0,0,0,0,0,0,0,0,5940,272.689285709278,222.135872565655,82.9,116
156,166,160,151.759843482514,"3",2,2.5,3.5,3,3.5,58,0,0,0,0,0,0,0,0,0,3967,194.528921164267,144.700966811343,43,108
154,164,157,141.153374233129,"4",3,2.5,3,3,3.5,55,0,0,0,0,0,1,0,0,0,2618,100.673192396919,104.888095373733,38.5,109
151,160,153,147.576726342711,"4",3,3,2.5,2.5,3.5,55,1,0,0,0,0,0,0,0,0,3114,159.164885317205,111.842904896747,44.1,105
153,161,155,147.845263329529,"3",3.5,3,3.5,3,3,56,0,0,0,0,0,0,0,0,0,6058,303.112632548969,219.31288854527,62.6,105
152,158,154,146.687719298246,"4",3.5,3,3.5,3.5,3.5,56,1,0,0,0,0,0,0,0,0,1987,83.1784119929824,70.7704422347749,29.2,102
151,159,154,147.53733702094,"4",2.5,2.5,3.5,3,3,52,0,1,0,0,0,1,0,0,0,7517,318.007762191335,266.598404988869,102.5,107
176,191,178,171.924018573238,"7",4.5,4,4,3,4,54,0,1,0,0,0,0,0,1,0,2351,112.694626820916,86.4914695926191,59.9,137
159,163,160,151.561172901921,"4",2,2,2.5,3,4,55,0,0,0,0,0,1,0,0,0,2830,150.21819884351,100.232833851664,42.1,108
160,180,164,149.987643979058,"4",4,3.5,3.5,3,4,55,0,1,0,0,0,1,0,0,0,4603,160.496987503605,191.816614983633,64.6,125
153,160.7048,155,148.135455469015,"3",3,2.5,3,2,3,56,0,0,0,0,0,0,0,0,0,2910,147.954401401918,104.72132873153,31.7,104.7048
157,165.3403,158,151.307668990603,"3",3,3,3,3,3,58,0,1,0,0,0,0,0,0,0,6380,313.935531345231,232.417322655269,68.4,107.3403
156,164,158,152.895845030882,"4",3,3,3,3,3.5,57,1,0,0,0,0,0,0,0,0,3554,189.877482979092,125.575166085545,50.6,107
164,170,166,159.33826146475,"5",3.5,3,3.5,2.5,3.5,59,0,1,0,0,0,1,0,0,0,7179,392.635359102812,251.491152344363,123,111
153,161,156,148.746564046179,"5",3.5,2.5,3,2.5,3.5,59,1,0,0,0,0,1,0,0,0,1811,92.0532128795325,65.1783169881594,32.8,102
162,167,163,156.050653802209,"4",3,2.5,3,3,3,62,0,1,0,0,0,0,0,0,0,7691,410.276355002293,271.902150236827,106.5,105
163,172,166,156.113066202091,"5",3,2,2,3,3,66,0,1,0,0,0,1,0,0,0,5714,265.04660213799,212.843643454763,98.4,106
155,169,160,146.805221932115,"4",2,2,3,3,3.5,57,1,0,0,0,0,0,0,0,0,1880,74.9677284986962,74.2466104963647,27.8,112
158,171,160,154.401795735129,"4",2.5,2.5,3,3,3,60,0,0,0,0,0,1,0,0,0,1772,82.282486706624,65.9794652368271,26.4,111
158,179,160,148.919853674759,"4",3.5,2.5,2.5,2.5,3,60,0,0,0,0,0,1,0,0,0,2925,97.8761901945278,123.958537317396,42.5,119
162,175,167,150.825986968187,"4",3.5,3.5,3.5,3.5,3.5,62,0,1,0,0,0,0,0,0,0,7729,293.139980637127,311.360889727447,105.3,113
170,174,172,159.676602924634,"6",4,3.5,3.5,3.5,3.5,59,0,0,0,1,0,0,0,0,0,1767,88.6104371950822,63.9157938693768,39.4,115
163,169,165,158.778216704289,"4",4,3.5,2.5,3,3,60,1,0,0,0,0,1,0,0,0,1763,97.087856582244,61.6055698955447,26.8,109
162,168.8324,164,157.285032796661,"4",2.5,2.5,3,2.5,3,61,0,0,0,0,0,1,0,0,0,1655,87.5363153316739,58.6936120722733,24.8,107.8324
162,171.5641,164,154.984174311927,"5",3.5,2.5,3,3,3,63,0,0,0,0,0,1,0,0,0,4260,195.868956719424,159.215399817978,73.8,108.5641
163,173,166,157.683142559833,"6",3.5,2.5,3,2.5,3,60,0,0,0,1,0,0,0,0,0,1922,93.1843769332806,70.4067916575679,41.4,113
158,181,162,153.850217706821,"4",2.5,2.5,2,2,3,62,0,0,0,0,0,0,0,0,1,3379,122.448704445198,138.630028880027,47.8,119
160,180,164,152.414842300557,"6",2,1.5,2,2.5,2.5,61,0,0,0,0,0,1,0,0,1,2677,95.8738521529002,110.352193139121,56.3,119
143,161,147,139.182762836186,"4",2.5,2,3,2.5,3,62,0,0,0,0,0,0,0,0,0,1602,59.5198928400696,65.0698396306356,23.9,99
156,169,158,146.494217687075,"5",3,2.5,3,2.5,3,59,0,1,0,0,0,1,0,0,0,2918,114.010004768671,116.171867528661,51.7,110
153,168,158,142.856102003643,"4",2,2,2.5,2,3,58,0,1,0,0,0,1,0,0,0,1647,59.601473286302,67.6091626239643,24.5,110
151,174,156,144.855504587156,"4",2,2,3,3,3,58,0,0,0,0,0,0,0,0,0,2181,71.999606627353,90.5481662221518,31,116
150,167,152,141.306787330317,"4",3,2.5,4,4,4,59,1,0,0,0,0,0,0,0,0,2177,76.4491274450201,90.458396463952,33.1,108
145,162.8514,152,138.258238063215,"3",2,2,3.5,3.5,3.5,58,0,1,0,0,0,0,0,0,0,1481,52.5731524302426,61.2691734372929,17.1,104.8514
